road_name,building_line,road_width,road_width_weight,traffic_volume,traffic_volume_weight,functional_mix,functional_mix_weight,building_density,building_density_weight,connectivity,connectivity_weight
Chandralekha Mawatha,12.2,6,0.25,865,0.25,5,0.18,3,0.15,1,0.1
Dr. N.M. Perera Mawatha,32,19.6,0.34,26087,0.32,7,0.15,1,0.2,5,0.16
Fairfield Gardens Road,12.2,6,0.25,1370,0.25,5,0.15,3,0.15,1,0.13
Norris Canal Road 1,12,8.8,0.27,6092,0.26,7,0.15,2,0.25,3,0.13
Norris Canal Road 2,12.2,9.8,0.28,5223,0.26,7,0.15,2,0.15,3,0.13
Ven Baddegama Wimalawansa Mawatha,32,22.9,0.36,38130,0.35,7,0.15,1,0.2,8,0.2
Kynsey Road,22,13.2,0.3,13371,0.28,7,0.15,2,0.15,4,0.14
Anula Road,12.2,11.9,0.29,27995,0.33,4,0.05,1,0.2,6,0.17
clifton Lane,32,28.2,0.4,33600,0.35,4,0.2,1,0.05,7,0.18
Galle Road,32,24,0.37,31941,0.34,7,0.2,1,0.1,7,0.14
Tickell Road,15,12.2,0.29,4580,0.26,5,0.15,2,0.1,3,0.11
Havelock Road,24,19.4,0.34,41050,0.36,4,0.15,1,0.1,8,0.2
Lauries Road,15,6.8,0.26,2075,0.25,5,0.18,3,0.15,2,0.11
Classen Place,12.2,9.4,0.27,3145,0.26,4,0.05,3,0.15,2,0.16
Adikarana Mawatha,22,17.9,0.33,15392,0.29,6,0.22,1,0.1,5,0.16
Santlarachchis Gardens (2-way),15,12.5,0.34,15410,0.29,6,0.12,2,0.1,5,0.16
Meeraniya Street,15,8.4,0.27,9110,0.27,5,0.18,2,0.14,4,0.1
Belmount Street,15.24,10.5,0.28,2665,0.25,4,0.1,3,0.15,2,0.11
Mill Street,12,7.8,0.26,1877,0.25,5,0.13,3,0.15,1,0.1
Dr. Colvin R. De Silva Mawatha,32,24.5,0.38,26950,0.32,7,0.15,1,0.12,6,0.15
Elvitigala Mawatha (AC8),32,25.4,0.38,52269,0.39,4,0.2,1,0.05,8,0.2
Vauxhall Lane,15,12.4,0.29,9880,0.27,4,0.1,2,0.1,4,0.14
Jayantha Weerasekara Mawatha,32,20.1,0.35,35570,0.35,7,0.25,1,0.14,7,0.15
Maligawatta Road,32,22.86,0.36,41160,0.36,4,0.1,1,0.05,8,0.2
Bristol Street,22,18.6,0.34,26130,0.32,7,0.15,2,0.15,6,0.17
Pepin Lane,6,6,0.26,19588,0.3,4,0.1,1,0.15,6,0.17
Hunupitiya Road,15,11.94,0.29,25618,0.32,4,0.1,1,0.05,5,0.16
Randoli Lane,6,5.2,0.31,7995,0.27,5,0.12,1,0.15,2,0.12
Bloemendal Road,12.2,10.83,0.28,27371,0.32,5,0.13,2,0.1,6,0.17
Hultsdorf Street,24,13.15,0.3,12889,0.28,7,0.15,2,0.15,1,0.1
N.M.Ishak Mawatha,22,11.02,0.28,55000,0.4,4,0.05,2,0.1,8,0.25
Francis Road,12.2,8.07,0.34,5736,0.26,5,0.18,1,0.05,1,0.1
Fussels Lane,12.2,9.68,0.32,38488,0.35,7,0.15,1,0.05,1,0.15
Dharmapala Mawatha,24,6,0.25,5631,0.26,7,0.15,1,0.1,5,0.16
Retreat Road,12.2,9.36,0.27,7215,0.27,4,0.1,1,0.05,3,0.13
Shady Grove Avenue,12.2,9.55,0.34,4500,0.26,7,0.17,2,0.2,6,0.2
D.M.Colombage Mawatha,15,12.45,0.33,43073,0.37,5,0.08,1,0.1,3,0.13
Abdul Caffoor Mawatha,12,6,0.25,28725,0.33,6,0.12,1,0.15,8,0.25
Muttaiah Road,15,12.5,0.38,20046,0.3,5,0.08,2,0.1,1,0.15
Queens Road,15,10.2,0.32,11659,0.28,5,0.18,2,0.15,2,0.11
Darmarama Road,15,6,0.25,16787,0.29,7,0.2,2,0.2,8,0.2
Peer Saibo Street,12.2,8.62,0.34,53627,0.4,7,0.2,3,0.15,8,0.2
Boyd Place,12,9.84,0.28,8675,0.27,5,0.13,3,0.15,6,0.17
Kynsey Place,22,17.21,0.33,18274,0.3,4,0.05,2,0.15,2,0.11
Kolonnawa Road,12,8.92,0.27,5009,0.26,4,0.15,1,0.05,4,0.14
Hikkaduwa Sri Sumangala Thero Mawatha,15,12.04,0.31,1793,0.25,4,0.1,1,0.05,6,0.17
Justice Akbar Mawatha,24,12.13,0.29,12076,0.28,5,0.18,2,0.15,5,0.16
Ebert Place,15,9.8,0.37,32935,0.34,4,0.05,2,0.15,6,0.17
Kent Road,12.2,8.5,0.37,8372,0.27,7,0.15,1,0.15,6,0.17
Panchikawatta Road,32,26.93,0.39,38112,0.35,4,0.1,2,0.1,6,0.17
